fecha,precio_eth,volumen_eth,eth_ballena_total,txs_ballena,bdi
2022-06-03,1775.12,741282.5346,0.0,0.0,2633.0
2022-06-04,1804.58,388279.4579,0.0,0.0,2633.0
2022-06-05,1806.23,371974.5061,0.0,0.0,2633.0
2022-06-06,1859.84,804250.3567,0.0,0.0,2560.0
2022-06-07,1813.33,1397598.2288,0.0,0.0,2514.0
2022-06-08,1791.88,941510.1373,0.0,0.0,2410.0
2022-06-09,1788.81,535310.9618,0.0,0.0,2342.0
2022-06-10,1662.91,955035.79239,0.0,0.0,2320.0
2022-06-11,1532.89,1220325.2542,0.0,0.0,2320.0
2022-06-12,1434.84,1563225.37018,0.0,0.0,2320.0
2022-06-13,1209.82,3626351.66536,0.0,0.0,2260.0
2022-06-14,1208.9,2716493.80131,0.0,0.0,2284.0
2022-06-15,1237.52,3114823.13621,0.0,0.0,2387.0
2022-06-16,1068.5,1447386.8304,0.0,0.0,2462.0
2022-06-17,1086.94,1220677.9491,0.0,0.0,2578.0
2022-06-18,995.13,2308983.5187,0.0,0.0,2578.0
2022-06-19,1128.53,2018599.4499,0.0,0.0,2578.0
2022-06-20,1128.24,1721772.9132,0.0,0.0,2596.0
2022-06-21,1125.85,1306095.3757,0.0,0.0,2484.0
2022-06-22,1050.19,1306959.8593,0.0,0.0,2349.0
2022-06-23,1144.72,1278257.0899,0.0,0.0,2354.0
2022-06-24,1225.02,1337137.483,0.0,0.0,2331.0
2022-06-25,1242.36,861986.6177,0.0,0.0,2331.0
2022-06-26,1197.79,884184.273,0.0,0.0,2331.0
2022-06-27,1192.51,868734.2061,0.0,0.0,2295.0
2022-06-28,1144.05,1104065.2211,0.0,0.0,2204.0
2022-06-29,1100.21,1295517.796,0.0,0.0,2186.0
2022-06-30,1071.01,1420670.3656,0.0,0.0,2240.0
2022-07-01,1059.73,1562255.1439,0.0,0.0,2214.0
2022-07-02,1067.01,714812.0804,0.0,0.0,2214.0
2022-07-03,1074.26,644746.3337,0.0,0.0,2214.0
2022-07-04,1151.0,1150108.9861,0.0,0.0,2159.0
2022-07-05,1132.5,1398961.4495,0.0,0.0,2098.0
2022-07-06,1186.57,1211768.0757,0.0,0.0,2043.0
2022-07-07,1237.49,1001316.079,0.0,0.0,2073.0
2022-07-08,1214.04,1189518.3631,0.0,0.0,2067.0
2022-07-09,1217.02,576337.1809,0.0,0.0,2067.0
2022-07-10,1168.36,1018038.6506,0.0,0.0,2067.0
2022-07-11,1096.4,1201652.3048,0.0,0.0,2081.0
2022-07-12,1038.58,1261349.6321,0.0,0.0,2013.0
2022-07-13,1115.0,2035605.8299,0.0,0.0,2002.0
2022-07-14,1193.42,1605101.9262,0.0,0.0,2010.0
2022-07-15,1231.25,1466037.2584,0.0,0.0,2150.0
2022-07-16,1355.85,1493809.9226,0.0,0.0,2150.0
2022-07-17,1338.65,1246202.8795,0.0,0.0,2150.0
2022-07-18,1581.04,2029918.76521,0.0,0.0,2162.0
2022-07-19,1542.32,1846048.6816,0.0,0.0,2145.0
2022-07-20,1521.58,1351177.4247,0.0,0.0,2113.0
2022-07-21,1575.45,1247327.4963,0.0,0.0,2118.0
2022-07-22,1535.27,1170723.0873,0.0,0.0,2146.0
2022-07-23,1548.67,851284.7339,0.0,0.0,2146.0
2022-07-24,1597.7,1009935.8997,0.0,0.0,2146.0
2022-07-25,1440.79,1418390.9809,0.0,0.0,2114.0
2022-07-26,1449.12,1199643.7408,0.0,0.0,2061.0
2022-07-27,1635.74,1513426.0413,0.0,0.0,2007.0
2022-07-28,1724.52,1578145.07555,0.0,0.0,1945.0
2022-07-29,1721.68,1205266.5703,0.0,0.0,1895.0
2022-07-30,1697.0,735132.5286,0.0,0.0,1895.0
2022-07-31,1678.12,696326.8079,0.0,0.0,1895.0
2022-08-01,1630.28,801566.5648,0.0,0.0,1872.0
2022-08-02,1630.91,1081964.5104,0.0,0.0,1817.0
2022-08-03,1618.16,777724.7413,0.0,0.0,1731.0
2022-08-04,1607.96,735552.181,0.0,0.0,1603.0
2022-08-05,1736.81,1005846.4712,0.0,0.0,1560.0
2022-08-06,1690.6,523314.6444,0.0,0.0,1560.0
2022-08-07,1700.19,439904.764,0.0,0.0,1560.0
2022-08-08,1777.05,781620.5443,0.0,0.0,1566.0
2022-08-09,1702.76,818171.1019,0.0,0.0,1564.0
2022-08-10,1853.57,1317767.5127,0.0,0.0,1592.0
2022-08-11,1880.19,1105261.9009,0.0,0.0,1556.0
2022-08-12,1958.28,717628.1015,0.0,0.0,1477.0
2022-08-13,1983.55,695876.0293,0.0,0.0,1477.0
2022-08-14,1935.31,569583.4852,0.0,0.0,1477.0
2022-08-15,1899.06,949162.3305,0.0,0.0,1404.0
2022-08-16,1876.67,622729.1499,0.0,0.0,1387.0
2022-08-17,1834.25,951824.8975,0.0,0.0,1394.0
2022-08-18,1846.39,606254.024,0.0,0.0,1320.0
2022-08-19,1609.01,1419826.9515,0.0,0.0,1279.0
2022-08-20,1576.04,914615.9226,0.0,0.0,1279.0
2022-08-21,1618.13,780662.6062,0.0,0.0,1279.0
2022-08-22,1624.66,941192.8954,0.0,0.0,1270.0
2022-08-23,1665.41,940246.932,0.0,0.0,1271.0
2022-08-24,1656.56,744667.6078,0.0,0.0,1213.0
2022-08-25,1695.11,603090.713,0.0,0.0,1123.0
2022-08-26,1508.18,1149912.8292,0.0,0.0,1082.0
2022-08-27,1491.06,756136.6768,0.0,0.0,1082.0
2022-08-28,1426.76,544846.4486,0.0,0.0,1082.0
2022-08-29,1551.8,826252.0831,0.0,0.0,1082.0
2022-08-30,1524.59,1003075.0172,0.0,0.0,1017.0
2022-08-31,1554.1,949227.6775,0.0,0.0,965.0
2022-09-01,1586.16,728710.482,0.0,0.0,1002.0
2022-09-02,1575.35,919009.6598,0.0,0.0,1086.0
2022-09-03,1557.46,321397.2189,0.0,0.0,1086.0
2022-09-04,1579.28,296591.1166,0.0,0.0,1086.0
2022-09-05,1617.8,503492.937,0.0,0.0,1133.0
2022-09-06,1559.01,1010722.8578,0.0,0.0,1114.0
2022-09-07,1630.0,850991.4243,0.0,0.0,1133.0
2022-09-08,1635.37,645124.0085,0.0,0.0,1178.0
2022-09-09,1718.23,837458.2126,0.0,0.0,1213.0
2022-09-10,1774.12,411046.2466,0.0,0.0,1213.0
2022-09-11,1766.11,409287.7263,0.0,0.0,1213.0
2022-09-12,1716.37,630774.6032,0.0,0.0,1256.0
2022-09-13,1574.4,1134549.7256,0.0,0.0,1408.0
2022-09-14,1638.39,764562.5393,0.0,0.0,1595.0
2022-09-15,1472.75,1335499.8047,0.0,0.0,1612.0
2022-09-16,1433.9,693597.2425,0.0,0.0,1553.0
2022-09-17,1468.83,421391.3743,0.0,0.0,1553.0
2022-09-18,1334.51,804113.468,0.0,0.0,1553.0
2022-09-19,1375.98,974855.198,0.0,0.0,1553.0
2022-09-20,1322.93,658027.1465,0.0,0.0,1729.0
2022-09-21,1245.78,1192266.7379,0.0,0.0,1746.0
2022-09-22,1326.46,904282.2725,0.0,0.0,1720.0
2022-09-23,1327.25,974052.3644,0.0,0.0,1816.0
2022-09-24,1317.13,517557.3497,0.0,0.0,1816.0
2022-09-25,1294.63,515533.8409,0.0,0.0,1816.0
2022-09-26,1336.17,799166.4333,0.0,0.0,1813.0
2022-09-27,1328.02,860584.8944,0.0,0.0,1807.0
2022-09-28,1337.2,919314.9131,0.0,0.0,1799.0
2022-09-29,1335.7,770591.6895,0.0,0.0,1757.0
2022-09-30,1328.72,740753.611,0.0,0.0,1760.0
2022-10-01,1311.79,252081.9056,0.0,0.0,1760.0
2022-10-02,1276.72,371740.0407,0.0,0.0,1760.0
2022-10-03,1323.09,483775.2435,0.0,0.0,1788.0
2022-10-04,1361.49,476207.6702,0.0,0.0,1865.0
2022-10-05,1352.2,483508.7782,0.0,0.0,1996.0
2022-10-06,1352.06,573975.324,0.0,0.0,1992.0
2022-10-07,1331.1,491999.8776,0.0,0.0,1961.0
2022-10-08,1315.48,203391.6612,0.0,0.0,1961.0
2022-10-09,1323.13,186201.9185,0.0,0.0,1961.0
2022-10-10,1290.03,393663.0114,0.0,0.0,1944.0
2022-10-11,1280.11,429430.3941,0.0,0.0,1904.0
2022-10-12,1294.44,369712.5759,0.0,0.0,1873.0
